epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5517241358757019,0.4839285910129547,9.999999747378752e-05,6.130932331085205,0.5357142686843872,0.5357142686843872,0.4285714328289032,0.5,5.761167049407959,0.0,0.0
1,0.7068965435028076,0.7297618985176086,9.999999747378752e-05,5.788659572601318,0.7037037014961243,0.6785714030265808,0.6428571343421936,0.5,5.744433403015137,1.0,0.375
2,0.8103448152542114,0.8839285373687744,9.999999747378752e-05,5.515024185180664,0.8399999737739563,0.75,0.5714285969734192,0.6041666269302368,5.725990295410156,0.5714285969734192,1.0
3,0.8103448152542114,0.8517857789993286,9.999999747378752e-05,5.54177713394165,0.7931034564971924,0.8214285969734192,0.5714285969734192,0.5,5.707131385803223,0.5714285969734192,1.0
4,0.931034505367279,0.973809540271759,9.999999747378752e-05,5.228875637054443,0.9615384340286255,0.8928571343421936,0.5714285969734192,0.5,5.688792705535889,0.5714285969734192,1.0
5,0.8793103694915771,0.9505952596664429,9.999999747378752e-05,5.289796829223633,0.8620689511299133,0.8928571343421936,0.5714285969734192,0.5,5.67092227935791,0.5714285969734192,1.0
6,0.931034505367279,0.9821428060531616,9.999999747378752e-05,5.154525279998779,0.9615384340286255,0.8928571343421936,0.5714285969734192,0.375,5.6529035568237305,0.5714285969734192,1.0
7,0.8965517282485962,0.9750000238418579,9.999999747378752e-05,5.186691761016846,0.8666666746139526,0.9285714030265808,0.5714285969734192,0.5,5.63470983505249,0.5714285969734192,1.0
8,0.9482758641242981,0.9809523224830627,9.999999747378752e-05,5.140301704406738,0.931034505367279,0.9642857313156128,0.5714285969734192,0.5,5.616688251495361,0.5714285969734192,1.0
9,1.0,0.9999999403953552,9.999999747378752e-05,5.030760765075684,1.0,1.0,0.5714285969734192,0.375,5.59877347946167,0.5714285969734192,1.0
10,0.9655172228813171,0.9976190328598022,9.999999747378752e-05,5.022391319274902,0.9642857313156128,0.9642857313156128,0.5714285969734192,0.458333283662796,5.581328392028809,0.5714285969734192,1.0
11,1.0,1.0,9.999999747378752e-05,4.968641757965088,1.0,1.0,0.5714285969734192,0.375,5.564938068389893,0.5714285969734192,1.0
12,0.9655172228813171,0.9904762506484985,9.999999747378752e-05,4.984152793884277,0.9333333373069763,1.0,0.5714285969734192,0.4375,5.553248882293701,0.5714285969734192,1.0
13,1.0,1.0,9.999999747378752e-05,4.905910015106201,1.0,1.0,0.5714285969734192,0.375,5.548544883728027,0.5714285969734192,1.0
14,0.982758641242981,0.9982142448425293,9.999999747378752e-05,4.898197650909424,0.9655172228813171,1.0,0.5714285969734192,0.5416666269302368,5.555029392242432,0.5714285969734192,1.0
15,0.9655172228813171,0.9964285492897034,9.999999747378752e-05,4.899744033813477,0.9642857313156128,0.9642857313156128,0.5714285969734192,0.4791666567325592,5.571787357330322,0.5714285969734192,1.0
16,0.9482758641242981,0.9976190328598022,9.999999747378752e-05,4.86391544342041,0.9629629850387573,0.9285714030265808,0.5714285969734192,0.5416666269302368,5.590579509735107,0.5714285969734192,1.0
17,1.0,1.0,9.999999747378752e-05,4.800375938415527,1.0,1.0,0.5714285969734192,0.5,5.607874393463135,0.5714285969734192,1.0
18,1.0,1.0,9.999999747378752e-05,4.777381420135498,1.0,1.0,0.5714285969734192,0.5,5.622837543487549,0.5714285969734192,1.0
19,1.0,1.0,4.999999873689376e-05,4.752503871917725,1.0,1.0,0.5714285969734192,0.4375,5.645392894744873,0.5714285969734192,1.0
20,0.982758641242981,0.9999999403953552,4.999999873689376e-05,4.7542033195495605,1.0,0.9642857313156128,0.5714285969734192,0.5416666269302368,5.6649603843688965,0.5714285969734192,1.0
21,1.0,1.0,4.999999873689376e-05,4.728075981140137,1.0,1.0,0.5714285969734192,0.5,5.68017578125,0.5714285969734192,1.0
22,1.0,1.0,4.999999873689376e-05,4.714486598968506,1.0,1.0,0.5714285969734192,0.5,5.697395324707031,0.5714285969734192,1.0
